,DDEC,EQeq,Qeq
281,-0.811422,-0.35100,-0.292733
282,-0.645862,-0.26900,-0.292733
283,-0.728443,-0.32300,-0.292733
284,-0.653358,-0.31200,-0.292733
285,-0.662095,-0.30500,-0.292733
286,-0.694424,-0.29800,-0.292733
287,-0.690888,-0.28000,-0.292733
288,-0.759589,-0.30000,-0.640972
289,-1.003245,-0.56700,-0.640972
290,-0.943974,-0.76500,-0.640972
291,-0.978447,-0.74500,-0.640972
292,-0.905718,-0.53800,-0.640972
293,-0.443746,-0.37200,-0.640972
294,-0.226511,-0.17200,-0.640972
295,-0.509745,-0.34400,-0.640972
296,-0.518152,-0.37700,-0.640972
297,-0.507416,-0.30500,-0.640972
298,-0.546794,-0.44500,-0.640972
299,-0.799895,-0.33200,-0.640972
300,-0.811422,-0.35100,-0.640972
301,-0.645862,-0.26900,-0.640972
302,-0.728443,-0.32300,-0.640972
303,-0.653358,-0.31200,-0.640972
304,-0.662095,-0.30500,-0.640972
305,-0.694424,-0.29800,-0.640972
306,-0.690888,-0.28000,-0.640972
307,-0.759589,-0.30000,-0.640972
308,-1.003245,-0.56700,-0.640972
309,-0.943974,-0.76500,-0.640972
310,-0.622991,-0.50600,-0.640972
311,-0.622991,-0.50600,-0.640972
312,-0.622991,-0.45900,-0.640972
313,-0.622991,-0.54000,-0.640972
314,-0.622991,-0.50700,-0.640972
315,-0.622991,-0.50600,-0.640972
316,-0.622991,-0.54000,-0.640972
317,-0.622991,-0.46000,-0.640972
318,-0.620661,-0.49200,-0.640972
319,-0.620661,-0.49300,-0.640972
320,-0.620661,-0.48200,-0.640972
321,-0.620661,-0.50000,-0.640972
322,-0.620661,-0.49400,-0.640972
323,-0.620661,-0.49300,-0.640972
324,-0.620661,-0.50100,-0.640972
325,-0.620661,-0.48300,-0.640972
326,-0.992881,-0.74300,-0.366255
327,-0.992881,-0.74300,-0.366255
328,-0.992881,-0.71100,-0.366255
329,-0.992881,-0.76000,-0.366255
330,-0.992881,-0.74300,-0.366255
331,-0.992881,-0.74300,-0.366255
332,-0.992881,-0.76000,-0.366255
333,-0.992881,-0.71200,-0.366255
334,-0.574686,-0.52300,-0.366255
335,-0.574686,-0.53100,-0.366255
336,-0.574686,-0.52600,-0.366255
337,-0.574686,-0.52700,-0.366255
338,-0.574686,-0.53100,-0.366255
339,-0.574686,-0.52300,-0.366255
340,-0.631108,-0.40100,-0.366255
341,-0.986924,-1.32000,-0.366255
342,-0.595206,-0.45400,-0.366255
343,-0.558959,-0.49600,-0.366255
344,-0.63231,-0.53700,-0.366255
345,-0.985224,-1.45800,-0.366255
346,-0.595902,-0.48600,-0.366255
347,-0.560179,-0.47700,-0.366255
348,-0.631108,-0.53800,-0.366255
349,-0.986923,-1.45900,-0.366255
350,-0.595206,-0.48100,-0.366255
351,-0.558959,-0.47700,-0.366255
352,-0.63231,-0.40100,-0.366255
353,-0.985223,-1.32000,-0.366255
354,-0.517866,-0.47500,-0.366255
355,-0.539666,-0.47200,-0.366255
356,-0.5189,-0.47300,-0.366255
357,-0.540134,-0.47300,-0.366255
358,-0.518505,-0.47700,-0.490803
359,-0.539638,-0.47700,-0.490803
360,-0.517866,-0.48900,-0.490803
361,-0.539666,-0.49000,-0.490803
362,-0.5189,-0.47600,-0.490803
363,-0.540134,-0.47500,-0.490803
364,-0.558009,-0.46200,-0.490803
365,-0.49465,-0.47400,-0.490803
366,-0.558805,-0.46600,-0.490803
367,-0.494896,-0.47700,-0.490803
368,-0.558289,-0.46100,-0.490803
369,-0.495917,-0.47400,-0.490803
370,-0.558009,-0.46200,-0.490803
371,-0.49465,-0.47600,-0.490803
372,-0.558805,-0.46400,-0.490803
373,-0.494896,-0.47900,-0.490803
374,-0.554112,-0.46200,-0.299402
375,-0.634308,-0.46100,-0.299402
376,-0.554966,-0.46700,-0.299402
377,-0.635289,-0.46100,-0.299402
378,-0.553405,-0.46500,-0.299402
379,-0.634124,-0.46100,-0.299402
380,-0.554112,-0.46500,-0.299402
381,-0.634308,-0.46200,-0.299402
382,-0.554966,-0.46600,-0.299402
383,-0.635289,-0.46100,-0.299402
384,-0.554177,-0.46100,-0.299402
385,-0.63517,-0.45900,-0.299402
386,-0.554397,-0.46600,-0.291763
387,-0.634903,-0.46300,-0.291763
388,-0.553696,-0.46200,-0.291763
389,-0.6346,-0.45700,-0.291763
390,-0.554177,-0.46300,-0.291763
391,-0.63517,-0.45900,-0.291763
392,-0.554397,-0.46600,-0.291763
393,-0.634903,-0.46000,-0.291763
394,-0.538659,-0.52600,-0.291763
395,-0.516218,-0.50700,-0.291763
396,-0.536515,-0.53600,-0.291763
397,-0.516475,-0.51900,-0.291763
398,-0.537141,-0.52900,-0.285391
399,-0.516523,-0.51600,-0.285391
400,-0.538659,-0.53000,-0.285391
401,-0.516218,-0.51500,-0.285391
402,-0.536515,-0.52500,-0.285391
403,-0.516475,-0.51400,-0.285391
404,-0.625861,-0.50700,-0.285391
405,-0.565756,-0.51400,-0.285391
406,-0.625915,-0.51300,-0.285391
407,-0.565709,-0.51700,-0.285391
408,-0.626588,-0.51700,-0.285391
409,-0.567089,-0.51800,-0.285391
410,-0.625861,-0.51700,-0.282791
411,-0.565756,-0.51800,-0.282791
412,-0.625915,-0.51400,-0.282791
413,-0.565709,-0.51500,-0.282791
414,-0.579549,-0.41300,-0.282791
415,-0.580851,-0.39700,-0.282791
416,-0.573134,-0.42400,-0.282791
417,-0.612517,-0.47700,-0.282791
418,-0.578359,-0.40800,-0.282791
419,-0.58085,-0.39500,-0.282791
420,-0.572586,-0.42500,-0.282791
421,-0.611816,-0.48000,-0.282791
422,-0.579549,-0.41300,-0.353105
423,-0.580851,-0.39700,-0.353105
424,-0.573134,-0.42400,-0.353105
425,-0.612517,-0.47700,-0.353105
426,-0.57836,-0.40800,-0.353105
427,-0.580849,-0.39500,-0.353105
428,-0.611538,-0.31200,-0.353105
429,-0.630942,-0.48700,-0.353105
430,-0.577862,-0.32100,-0.353105
431,-0.63784,-0.46000,-0.353105
432,-0.611538,-0.31200,-0.353105
433,-0.630942,-0.48800,-0.353105
434,-0.577862,-0.32100,-0.348688
435,-0.63784,-0.45900,-0.348688
436,-0.611538,-0.31300,-0.348688
437,-0.630942,-0.48700,-0.348688
438,-0.577862,-0.32000,-0.348688
439,-0.63784,-0.45900,-0.348688
440,-0.611538,-0.31300,-0.348688
441,-0.630942,-0.48800,-0.348688
442,-0.334019,-0.29300,-0.348688
443,-0.597907,-0.47100,-0.348688
444,-0.566759,-0.45200,-0.348688
445,-0.562769,-0.43200,-0.348688
446,-0.65267,-0.46600,-0.275622
447,-0.593176,-0.44600,-0.275622
448,-0.631391,-0.50300,-0.275622
449,-0.609551,-0.31300,-0.275622
450,-0.549602,-0.44400,-0.275622
451,-0.334019,-0.29100,-0.275622
452,-0.597907,-0.47000,-0.275622
453,-0.566759,-0.46200,-0.275622
454,-0.562769,-0.44200,-0.275622
455,-0.65267,-0.46700,-0.275622
456,-0.593176,-0.44500,-0.275622
457,-0.631391,-0.50600,-0.275622
458,-0.609551,-0.31300,-0.275622
459,-0.549602,-0.44600,-0.275622
460,-0.334019,-0.29300,-0.275622
461,-0.597907,-0.47100,-0.275622
462,-0.566758,-0.45200,-0.293794
463,-0.562769,-0.43200,-0.293794
464,-0.65267,-0.46600,-0.293794
465,-0.593176,-0.44600,-0.293794
466,-0.631391,-0.50300,-0.293794
467,-0.609552,-0.31300,-0.293794
468,-0.549602,-0.44400,-0.293794
469,-0.334019,-0.29100,-0.293794
470,-0.597907,-0.47000,-0.293794
471,-0.566758,-0.46200,-0.293794
472,-0.562769,-0.44200,-0.293794
473,-0.65267,-0.46700,-0.293794
474,-0.593175,-0.44500,-0.293794
475,-0.631391,-0.50600,-0.293794
476,-0.739599,-0.32200,-0.293794
477,-0.637968,-0.30400,-0.293794
478,-0.645572,-0.32900,-0.261163
479,-0.673791,-0.31400,-0.261163
480,-0.678898,-0.32700,-0.261163
481,-0.613943,-0.31200,-0.261163
482,-0.700223,-0.32500,-0.261163
483,-0.696886,-0.34200,-0.261163
484,-0.625936,-0.29600,-0.261163
485,-0.62865,-0.32300,-0.261163
486,-0.666056,-0.32300,-0.261163
487,-0.370087,-0.15800,-0.261163
488,-0.380069,-0.16300,-0.261163
489,-0.40034,-0.18700,-0.261163
490,-0.739599,-0.34300,-0.261163
491,-0.637968,-0.30400,-0.261163
492,-0.645572,-0.32900,-0.261163
