,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
330,945.179,909.72298,8.079574849,5.132670733,7.17E-06,7.17E-06,30864.37165,30864.32134,8.079574849,5.132670733,0.000159299,0.000159299,14760.02229,14760.02229,HAFQOW,UFF_DDEC
331,1067.93,828.79114,7.933891164,4.832513888,5.34E-06,5.34E-06,33848.35281,19890.01665,7.933891164,4.832513888,7.40E-05,7.40E-05,15521.84877,15521.84877,ISUCUV,UFF_DDEC
332,1460.79,927.326195,2.410498756,1.430521589,4.15E-05,4.15E-05,44998.33934,28993.34561,2.410498756,1.430521589,0.000195524,0.000195524,19281.02048,19281.02048,CEGWER,UFF_DDEC
333,1133.11,896.454468,5.571140812,0.848927174,3.87E-06,3.87E-06,35145.57139,21269.36637,5.571140812,0.848927174,7.33E-05,7.33E-05,18943.95481,18943.95481,PIXHOV,UFF_DDEC
334,1158.33,770.436684,4.215482713,5.50735863,2.17E-06,2.17E-06,43539.66152,33581.1591,4.215482713,5.50735863,3.28E-05,3.28E-05,19181.23642,19181.23642,ABUWOJ,UFF_DDEC
335,1226.6,888.034368,2.032767186,2.152242589,2.04E-06,2.04E-06,41776.62518,27350.58665,2.032767186,2.152242589,9.75E-05,9.75E-05,18375.56505,18375.56505,UVARIT,UFF_DDEC
336,1049.49,895.024305,5.609627263,2.774419846,2.61E-06,2.61E-06,36445.15698,31587.48644,5.609627263,2.774419846,0.000110983,0.000110983,16284.67045,16284.67045,ACOLIP,UFF_DDEC
337,763.865,755.765838,12.49999994,10.55871239,2.50E-05,2.50E-05,20940.77485,20939.2974,12.49999994,10.55871239,0.000161071,0.000161071,10504.40869,10504.40869,ZIF-6,UFF_DDEC
338,1491.59,713.303056,2.627064786,1.386958431,5.54E-06,5.54E-06,33258.08277,21220.31516,2.627064786,1.386958431,7.84E-05,7.84E-05,16809.87326,16809.87326,PAPHEV,UFF_DDEC
339,1987.02,679.956019,1.230039692,0.575531276,7.18E-06,7.18E-06,42419.85635,26702.85031,1.230039692,0.575531276,6.77E-05,6.77E-05,20573.50272,20573.50272,HIWLOO,UFF_DDEC
340,1207.1,761.191823,3.839424216,2.272816177,1.32E-05,1.32E-05,29192.8273,18813.97398,3.839424216,2.272816177,0.000214522,0.000214522,13759.29906,13759.29906,ZIF-1,UFF_DDEC
341,993.806,695.071322,2.306158854,12.5,0.000217543,0.000217543,24637.47225,16541.65019,2.306158854,12.5,9.64E-05,9.64E-05,14351.25831,14351.25831,LOQLEJ,UFF_DDEC
342,1595.33,904.957747,3.72791172,1.08E-05,9.78E-09,9.78E-09,40131.93925,21833.09867,3.72791172,1.08E-05,1.00E-09,1.00E-09,6000,6000,LAJDUV03,UFF_DDEC
343,964.914,792.074304,10.46543631,4.753883161,7.16E-06,7.16E-06,29510.75644,19866.4539,10.46543631,4.753883161,0.000123164,0.000123164,13608.54312,13608.54312,ODUNEH,UFF_DDEC
344,1711.76,792.461228,0.452091689,3.94E-11,1.80E-07,1.80E-07,27251.27875,20754.92695,0.452091689,3.94E-11,1.67E-06,1.67E-06,6000,6000,SICDAL,UFF_DDEC
345,1452.36,746.546193,4.3430666,3.046168128,1.59E-06,1.59E-06,44393.62369,35128.93673,4.3430666,3.046168128,4.35E-05,4.35E-05,17656.7542,17656.7542,PASMUT,UFF_DDEC
346,632.325,1002.224829,12.5,12.5,0.00041297,0.00041297,22493.77237,20244.39514,12.5,12.5,0.000147153,0.000147153,11246.84653,11246.84653,PARHEW,UFF_DDEC
347,1226.16,829.821942,5.010644343,1.761282823,2.42E-06,2.42E-06,39469.76274,29791.70818,5.010644343,1.761282823,9.99E-05,9.99E-05,17199.70126,17199.70126,AVIMOI,UFF_DDEC
348,2294.25,703.586528,1.918211644,0.107249224,2.13E-06,2.13E-06,30630.94825,30629.30548,1.918211644,0.107249224,8.57E-06,8.57E-06,20116.1042,20116.1042,CAHSOU,UFF_DDEC
349,1472.17,841.24785,1.948719197,0.817461118,1.37E-07,1.37E-07,45000,41131.22854,1.948719197,0.817461118,7.26E-06,7.26E-06,20351.48811,20351.48811,HABRIN,UFF_DDEC
350,989.877,898.689234,1.470508433,8.365331811,2.62E-06,2.62E-06,39525.62515,34485.27706,1.470508433,8.365331811,0.000185738,0.000185738,14853.6492,14853.6492,HAFVOB,UFF_DDEC
351,1675.81,690.001978,3.477694813,1.64E-07,1.63E-06,1.63E-06,28033.89286,15672.14297,3.477694813,1.64E-07,0.00057719,0.00057719,6035.776814,6035.776814,GIMVAA,UFF_DDEC
352,1214.39,870.193006,6.225240079,1.676961308,3.05E-06,3.05E-06,37998.46976,28257.78361,6.225240079,1.676961308,0.000212112,0.000212112,15554.09247,15554.09247,KAYBIX,UFF_DDEC
353,1067.21,803.687819,8.537031182,2.080734636,6.93E-06,6.93E-06,29163.7923,19828.22298,8.537031182,2.080734636,0.000148001,0.000148001,13737.52204,13737.52204,GUYLOC,UFF_DDEC
354,1152.07,738.561835,5.386275844,6.289970665,2.03E-05,2.03E-05,29718.05608,17253.74769,5.386275844,6.289970665,0.000162625,0.000162625,14467.42473,14467.42473,GAYFOD,UFF_DDEC
