Name,LCD,PLD,LFPD,cm3_g,ASA_A2,ASA_m2_cm3,ASA_m2_g,NASA_A2,NASA_m2_cm3,NASA_m2_g,AV_A3,AV_VF,AV_cm3_g,NAV_A3,NAV_VF,NAV_cm3_g,OMS,chemical_formula,total_atoms
AVIMOI,5.73292,4.38571,5.54624,1.22616,422.007,1164.05,949.35,0.0,0.0,0.0,165.315,0.0456,0.0371894,0.0,0.0,0.0,4.0,Zn8H72C120O40,240
AXOCEW,7.55963,5.38978,7.42723,1.12374,342.864,1273.13,1132.93,51.1414,189.899,168.988,295.162,0.1096,0.0975312,12.9268,0.0048,0.00427144,4.0,Zn4H32C68O16F24,144
AXUBAW,14.24572,5.52422,14.23389,0.741721,758.494,1805.53,2434.24,0.0,0.0,0.0,1190.55,0.2834,0.382084,0.0,0.0,0.0,0.0,Zn8H72C72O26,178
AYUWUM,4.54144,3.13863,4.54144,1.25983,0.0,0.0,0.0,140.313,538.192,427.194,0.0,0.0,0.0,28.1569,0.0108,0.00857259,4.0,Na6H62C60S14O38,180
AZIXUD,5.99991,4.88169,5.99991,1.10463,562.0,1858.05,1682.06,0.0,0.0,0.0,319.405,0.1056,0.0955976,0.0,0.0,0.0,4.0,Zn8H32C68O40,148
BARZAW,7.73839,2.55686,7.73839,1.4812,0.0,0.0,0.0,231.122,478.995,323.383,0.0,0.0,0.0,150.544,0.0312,0.021064,0.0,Zn12H132C204N12O48,408
BARZUR,5.4946,5.30289,5.4946,0.925783,459.569,1729.38,1868.02,0.0,0.0,0.0,171.138,0.0644,0.0695627,0.0,0.0,0.0,3.0,Zn3H60C60N36,159
BEGBOG,4.23611,2.57051,4.10647,0.976018,0.0,0.0,0.0,38.6068,283.476,290.441,0.0,0.0,0.0,7.08193,0.0052,0.00532777,0.0,Na4H36C24O24,88
BEKSAM,4.03474,3.3801,4.0216,2.89814,29.6586,340.327,117.429,0.0,0.0,0.0,3.83449,0.0044,0.00151822,0.0,0.0,0.0,0.0,Ga10P8O36,54
BENXOJ,4.11666,3.47483,4.11666,1.44846,180.403,616.087,425.34,0.852191,2.91029,2.00923,24.0112,0.0082,0.00566119,0.0,0.0,0.0,0.0,Zn12H72C80N16O32,212
BENXUP,4.10218,3.42336,4.09595,1.4733,92.721,644.158,437.222,0.0,0.0,0.0,14.3942,0.01,0.00678749,0.0,0.0,0.0,0.0,Zn6H36C40N8O16,106
BEPLUF,10.54661,10.45745,10.54661,0.882268,374.68,1356.51,1537.53,0.0,0.0,0.0,589.429,0.2134,0.241877,0.0,0.0,0.0,6.0,Zn6H66C54N12O12,150
BEPMAM,10.35764,10.23297,10.35764,0.893987,368.283,1351.06,1511.28,0.0,0.0,0.0,562.621,0.2064,0.230876,0.0,0.0,0.0,6.0,Zn6H66C54N12O12,150
BEPMEQ,10.23749,10.11334,10.23749,1.01266,316.902,1150.18,1135.8,0.0,0.0,0.0,504.207,0.183,0.180711,0.0,0.0,0.0,0.0,Zn6H66C54N12Cl6O12,156
