,DDEC,EQeq,Qeq
537,0.762853,1.19300,0.404098
538,1.004512,1.16900,0.404098
539,0.860585,1.20000,0.404098
540,0.779604,1.26500,0.615511
541,0.779604,1.26500,0.615511
542,0.779604,1.26500,0.615511
543,0.779604,1.26500,0.615511
544,1.154943,1.15800,0.46888
545,1.165396,1.15400,0.46888
546,0.747477,1.19900,0.394204
547,0.755916,1.20000,0.394204
548,0.747477,1.20100,0.394204
549,0.755916,1.20100,0.394204
550,0.747477,1.20000,0.394204
551,0.755916,1.20100,0.394204
552,0.747477,1.20100,0.394204
553,0.755916,1.20100,0.394204
554,0.998981,1.22500,0.468517
555,1.000283,1.22600,0.468517
556,0.998981,1.21900,0.468517
557,1.000283,1.22700,0.468517
558,1.279063,1.23900,0.516105
559,1.279063,1.23900,0.516105
560,0.992875,1.18100,0.401579
561,0.997894,1.18700,0.401579
562,0.992875,1.18100,0.401579
563,0.997894,1.18800,0.401579
564,0.992875,1.18200,0.401579
565,0.997894,1.18800,0.401579
566,0.992875,1.18200,0.401579
567,0.997894,1.18900,0.401579
568,1.109415,1.22300,0.443575
569,1.18867,1.15300,0.443575
570,1.109416,1.22400,0.443575
571,1.1887,1.20700,0.443575
572,1.154889,1.12300,0.443575
573,1.011088,1.22900,0.440297
574,1.136227,1.16900,0.440297
575,1.011088,1.22900,0.440297
576,1.136227,1.16800,0.440297
577,1.011088,1.22900,0.440297
578,1.136226,1.16900,0.440297
579,1.011088,1.22800,0.440297
580,1.136226,1.16700,0.440297
581,0.903564,1.23200,0.472038
582,0.903564,1.23200,0.472038
583,0.903564,1.23400,0.472038
584,0.903564,1.22300,0.472038
585,0.950917,1.21700,0.46804
586,0.950917,1.20500,0.46804
587,0.950917,1.21700,0.46804
588,0.950917,1.20400,0.46804
589,1.191253,1.22900,0.46804
590,1.191253,1.22800,0.46804
591,1.191253,1.22800,0.46804
592,1.191253,1.22900,0.46804
593,0.969031,1.22100,0.442612
594,1.061413,1.19600,0.442612
595,0.883933,1.20400,0.442612
596,0.969031,1.22200,0.442612
597,1.061413,1.19500,0.442612
598,0.883933,1.20400,0.442612
599,0.96903,1.22200,0.442612
600,1.061412,1.19700,0.442612
601,0.883933,1.20400,0.442612
602,0.969031,1.22200,0.442612
603,1.061412,1.19500,0.442612
604,0.883933,1.20400,0.442612
605,0.976224,1.22500,0.48179
606,1.014878,1.24300,0.48179
607,0.976224,1.22900,0.48179
608,1.014878,1.23700,0.48179
609,0.976224,1.23200,0.48179
610,1.014878,1.22500,0.48179
611,0.976224,1.22800,0.48179
612,1.014878,1.23500,0.48179
613,1.104452,1.21900,0.48179
614,1.104452,1.23200,0.48179
615,1.167027,1.19500,0.447908
616,1.167027,1.19500,0.447908
617,1.167027,1.19600,0.447908
618,1.167027,1.19600,0.447908
619,1.167027,1.19700,0.447908
620,1.167027,1.19500,0.447908
621,1.167027,1.19700,0.447908
622,1.167027,1.19500,0.447908
623,0.895095,1.20100,0.441824
624,0.895058,1.21300,0.441824
625,0.895099,1.20800,0.441824
626,0.895095,1.20700,0.441824
627,0.895058,1.20000,0.441824
628,0.8951,1.21200,0.441824
629,1.067326,1.21600,0.441824
630,1.067117,1.22900,0.441824
631,1.067116,1.21600,0.441824
632,0.952637,1.16300,0.427748
633,0.952637,1.17700,0.427748
634,0.952637,1.18800,0.427748
635,0.952637,1.17300,0.427748
636,1.027047,1.11400,0.427748
637,1.027047,1.15700,0.427748
638,0.930634,1.21000,0.458157
639,0.930634,1.20900,0.458157
640,0.930634,1.21100,0.458157
641,0.930634,1.21000,0.458157
642,1.021269,1.21400,0.436332
643,0.957397,1.22300,0.436332
644,0.63879,1.17900,0.436332
645,1.021269,1.21500,0.436332
646,0.957397,1.22400,0.436332
647,0.63879,1.17900,0.436332
648,0.843111,1.21300,0.434295
649,0.843856,1.21300,0.434295
650,0.843111,1.21400,0.434295
651,0.843857,1.21400,0.434295
652,0.855025,1.19300,0.374263
653,0.855025,1.19300,0.374263
654,0.855025,1.19300,0.374263
655,0.855025,1.19300,0.374263
656,0.855025,1.19300,0.374263
657,0.855025,1.19300,0.374263
658,0.855025,1.19300,0.374263
659,0.855025,1.19300,0.374263
660,1.101961,1.26800,0.518812
661,1.135466,1.22000,0.518812
662,1.101961,1.26800,0.518812
663,1.135466,1.22200,0.518812
664,1.127616,1.27700,0.497609
665,1.133741,1.21900,0.497609
666,1.127616,1.27400,0.497609
667,1.133741,1.21500,0.497609
668,0.965564,1.12200,0.412713
669,1.121506,1.16700,0.412713
670,1.203217,1.19500,0.412713
671,0.965564,1.11700,0.412713
672,1.121506,1.16600,0.412713
673,1.203217,1.19700,0.412713
674,0.965565,1.12100,0.412713
675,1.121506,1.16600,0.412713
676,1.203219,1.19500,0.412713
677,0.965565,1.11700,0.412713
678,1.121506,1.16600,0.412713
679,1.203219,1.19700,0.412713
680,0.794113,1.17300,0.342499
681,0.798006,1.17400,0.342499
682,0.794113,1.17300,0.342499
683,0.798006,1.17400,0.342499
684,0.794113,1.17300,0.342499
685,0.798006,1.17400,0.342499
686,0.794113,1.17300,0.342499
687,0.798006,1.17400,0.342499
688,0.805701,1.17300,0.342878
689,0.804779,1.17400,0.342878
690,0.805701,1.17200,0.342878
691,0.804779,1.17400,0.342878
692,0.805701,1.17400,0.342878
693,0.804779,1.17500,0.342878
694,0.805701,1.17300,0.342878
695,0.804779,1.17500,0.342878
696,0.803007,1.17300,0.339109
697,0.802984,1.17500,0.339109
698,0.803007,1.17300,0.339109
699,0.802984,1.17500,0.339109
700,0.803007,1.17300,0.339109
701,0.802984,1.17500,0.339109
702,0.803007,1.17300,0.339109
703,0.802984,1.17500,0.339109
704,0.805433,1.17200,0.342611
705,0.805187,1.17400,0.342611
706,0.805433,1.17200,0.342611
707,0.805187,1.17400,0.342611
708,0.805433,1.17200,0.342611
709,0.805187,1.17400,0.342611
710,0.805433,1.17200,0.342611
711,0.805187,1.17400,0.342611
712,0.797859,1.17300,0.340906
713,0.804298,1.17400,0.340906
714,0.797859,1.17300,0.340906
715,0.804298,1.17400,0.340906
716,0.797859,1.17300,0.340906
717,0.804298,1.17400,0.340906
718,0.797859,1.17300,0.340906
719,0.804298,1.17400,0.340906
720,0.799701,1.17200,0.34088
721,0.807148,1.17200,0.34088
722,0.799701,1.17200,0.34088
723,0.807148,1.17200,0.34088
724,0.799701,1.17300,0.34088
725,0.807148,1.17300,0.34088
726,0.799701,1.17300,0.34088
727,0.807148,1.17300,0.34088
728,1.105099,1.23400,0.464667
729,0.912018,1.21700,0.464667
730,0.966795,1.21000,0.464667
731,1.105099,1.23400,0.464667
732,0.912018,1.21800,0.464667
733,0.966795,1.21200,0.464667
734,0.968848,1.22000,0.46104
735,0.968848,1.22100,0.46104
736,0.968859,1.22000,0.46104
737,0.968859,1.22100,0.46104
738,0.929974,1.21000,0.457437
739,0.999112,1.21800,0.457437
740,0.929972,1.21100,0.457437
741,0.999108,1.21900,0.457437
742,0.999897,1.24200,0.513023
743,0.999127,1.24400,0.513023
744,0.999897,1.24200,0.513023
745,0.999127,1.24400,0.513023
746,1.111,1.18700,0.450291
747,1.110998,1.18700,0.450291
748,1.144006,1.24200,0.450291
749,1.014791,1.22900,0.45611
750,1.161179,1.18600,0.45611
751,1.014791,1.22700,0.45611
752,1.161179,1.18300,0.45611
753,1.014791,1.22800,0.45611
754,1.161179,1.18500,0.45611
755,1.014791,1.22800,0.45611
756,1.161179,1.18400,0.45611
757,1.014791,1.22800,0.45611
758,1.161179,1.18500,0.45611
759,1.014791,1.22700,0.45611
760,1.161179,1.18300,0.45611
761,1.014791,1.22800,0.45611
762,1.161179,1.18500,0.45611
763,1.014791,1.22800,0.45611
764,1.161179,1.18400,0.45611
765,0.413335,1.15600,0.337865
766,0.413335,1.15600,0.337865
767,0.8202,1.18300,0.385511
768,0.816182,1.18200,0.385511
769,0.8202,1.18200,0.385511
770,0.816182,1.18400,0.385511
771,0.8202,1.18300,0.385511
772,0.816182,1.18300,0.385511
773,0.8202,1.18200,0.385511
774,0.816182,1.18100,0.385511
775,0.942055,1.21600,0.462459
776,0.942057,1.21600,0.462459
777,0.942055,1.21600,0.462459
778,0.942057,1.21600,0.462459
779,1.0516,1.18100,0.372857
780,1.0516,1.18100,0.372857
781,1.0516,1.18000,0.372857
782,1.0516,1.18000,0.372857
783,1.019316,1.18400,0.505834
784,1.019316,1.19800,0.505834
785,1.019316,1.18400,0.505834
786,1.019316,1.19800,0.505834
787,0.895258,1.21100,0.427691
788,0.895258,1.21200,0.427691
789,0.895258,1.21100,0.427691
790,0.895258,1.21200,0.427691
791,1.075358,1.26200,0.523066
792,1.146606,1.24800,0.523066
793,1.075358,1.20700,0.523066
794,1.146606,1.24400,0.523066
795,1.075358,1.20700,0.523066
796,1.146606,1.24700,0.523066
797,1.075358,1.26400,0.523066
798,1.146606,1.25200,0.523066
799,1.094951,1.22000,0.523066
800,1.094952,1.19500,0.523066
801,1.022605,1.28300,0.668655
802,1.022605,1.28100,0.668655
803,1.022606,1.28400,0.668655
804,1.022606,1.28200,0.668655
805,1.059039,1.27800,0.668655
806,1.059039,1.27800,0.668655
807,1.099905,1.20100,0.410046
808,1.099905,1.17500,0.410046
809,1.099905,1.18700,0.410046
810,1.099905,1.20600,0.410046
811,1.099905,1.18300,0.410046
812,1.099905,1.20800,0.410046
813,1.099905,1.19700,0.410046
814,1.099905,1.17700,0.410046
815,0.855574,1.21100,0.426534
816,0.855574,1.21100,0.426534
817,0.855574,1.21100,0.426534
818,0.855574,1.21100,0.426534
